ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
105,SBST,1,3,66409,0.9,0549,0003,0549,0003,0603,0003
105,SBST,1,4,66399,1.3,0551,0005,0550,0005,0605,0005
105,SBST,1,5,66029,1.7,0553,0006,0552,0006,0606,0006
105,SBST,1,6,66019,2.2,0554,0008,0554,0008,0608,0008
105,SBST,1,7,52069,2.7,0555,0010,0555,0010,0610,0009
105,SBST,1,8,52059,2.9,0555,0011,0556,0011,0611,0010
105,SBST,1,9,52361,3.5,0556,0013,0558,0013,0613,0012
105,SBST,1,10,52279,4.1,0559,0015,0600,0015,0615,0014
105,SBST,1,11,52239,4.7,0602,0017,0603,0017,0616,0015
105,SBST,1,12,52189,5,0604,0018,0604,0018,0617,0016
105,SBST,1,13,52079,6.1,0607,0020,0606,0020,0620,0018
105,SBST,1,14,51099,7.3,0610,0023,0609,0023,0623,0020
105,SBST,1,15,40249,8.2,0612,0025,0611,0025,0625,0022
105,SBST,1,16,40239,8.5,0613,0026,0612,0026,0626,0022
105,SBST,1,17,40229,8.9,0614,0027,0613,0027,0627,0023
105,SBST,1,18,40219,9.2,0615,0027,0613,0028,0627,0023
105,SBST,1,19,40209,9.6,0616,0028,0614,0029,0628,0024
105,SBST,1,20,40199,10.1,0618,0029,0615,0029,0629,0025
105,SBST,1,21,09219,10.8,0620,0031,0617,0030,0631,0027
105,SBST,1,22,09111,11.5,0622,0033,0619,0031,0633,0029
105,SBST,1,23,09121,11.8,0622,0033,0620,0032,0633,0029
105,SBST,1,24,09131,12.4,0624,0035,0622,0033,0635,0031
105,SBST,1,25,09141,12.7,0625,0036,0623,0034,0636,0031
105,SBST,1,26,13011,13,0626,0037,0623,0034,0637,0032
105,SBST,1,27,13021,13.6,0627,0038,0625,0036,0638,0033
105,SBST,1,28,11201,13.9,0628,0039,0625,0036,0639,0033
105,SBST,1,29,11211,14.2,0629,0040,0626,0037,0640,0034
105,SBST,1,30,11221,14.7,0631,0041,0627,0038,0641,0035
105,SBST,1,31,11089,15,0632,0042,0627,0039,0642,0036
105,SBST,1,32,11079,15.5,0634,0043,0628,0040,0643,0037
105,SBST,1,33,11069,15.8,0635,0044,0629,0041,0644,0038
105,SBST,1,34,11161,16.4,0637,0045,0630,0042,0646,0039
105,SBST,1,35,11171,16.9,0639,0047,0632,0044,0648,0040
105,SBST,1,36,11181,17.3,0640,0048,0633,0045,0649,0041
105,SBST,1,37,11191,17.8,0642,0049,0634,0046,0650,0042
105,SBST,1,38,19011,18.3,0644,0051,0635,0048,0651,0044
105,SBST,1,39,19021,18.7,0646,0052,0636,0049,0652,0045
105,SBST,1,40,19031,19.1,0648,0053,0637,0050,0653,0046
